"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Moxd1",0.29,0.95,0.14,1,0.14,0,0.14,0.14
"LOC102638890",3.14,0.93,1.89,3.81,0,1.5,0.64,1
"Ctgf",6,1,0,0,0,0,0,0
"Enpp1",227.68,114.75,236.46,214.64,147.09,129.63,189.35,153.23
"Enpp3",0,0,0,0,0,1,0,0
"Med23",1016.2,535,986,1063,910.2,718,998,895
"Arg1",36,31,30,37,36,13,14,25
"LOC108167801",33.37,27.46,34.06,16.33,25.42,30.32,21.13,29.57
"Akap7",42,15,29,28,21.25,31,28,48.5
"Epb41l2",2213.83,1021,2387.11,1986,1879,1520.31,1900.11,2127
"Smlr1",0,0,0,0,0,1,1,0
"Tmem200a",0,1,0.5,0,0.5,0.5,1,0
"Samd3",2551,1267,5402,1424,2068,1690,1644,2836
"L3mbtl3",1070.5,938,1202,1364,1489,991,1307,1150
"Arhgap18",530.44,349.58,432.73,377.91,364.22,358.02,382.17,418.48
"Gm30534",0,0,0,0,0,0,0,0
"Lama2",17.53,2.28,2.56,3.23,0.83,4.28,1.14,1.94
"Ptprk",141,96.25,73.56,69.22,77.25,63,103.62,61.2
"Themis",4700.37,3722.98,5662.57,6217.01,5647.32,3590.68,4971.73,4574.97
"2310057J18Rik",2,4,0,0,1,0,0,0
"Soga3",1,0,1,1,0,2,0,0
"9330159F19Rik",0.12,0,0.14,0,1,0,0.12,0
"Echdc1",149.15,117,238.25,249.5,220.7,130.42,186.75,204.5
"Rnf146",984.5,844,1533.5,1561.5,1419,713.5,1247,1180.17
"Gm30698",0,0,0,0,0,0,0,0
"Rspo3",1,0,0,0,0,0,0,0
"Cenpw",164,74,98.5,81,68.5,101,54.5,104
"Trmt11",566.88,410.59,544.6,653.09,614.27,497.88,645.59,554.59
"Hint3",258,125,267.5,196,172,197.5,179,217
"Ncoa7",1849.17,662.17,1982.5,982.33,1041.67,1921.5,935.25,2295.17
"Hey2",1,1,0,0,0,0,0,0
"Hddc2",789,482,589,567.25,565.14,581,730.11,562.14
"Tpd52l1",120.43,41.1,79.73,63.58,75,94.32,72.38,76.43
"Supt4b",0,0,0,0,0,0,0,0
"Rnf217",8.33,2.67,1.71,0.52,3.29,2.22,1.61,2.29
"Nkain2",27.62,25.81,26.55,22.4,23.78,14.74,20.26,17.7
"Trdn",6.38,0.17,3.32,1.98,1.74,3.74,2.48,5.18
"Clvs2",2.5,0.84,4.31,0.38,0.96,0,1.87,2.64
"Sult3a2",0,0,0,0,0,0,0,0
"Sult3a1",0.14,0.5,0,0.29,0.33,0,0.14,0.25
"Rsph4a",2,4,1,3,0,1,0,0
"Zufsp",2301,1211,1928.25,1848.83,1746,1468.5,1612.5,1919.1
"Rwdd1",578.08,359.5,514.75,453.83,398.58,465.33,465.17,472.17
"Trappc3l",2.12,0,0.5,0,0,4,1,2
"Fam26d",0,0,0,0,0,0,0,0
"Fam26e",0,0,0,0,0,0,0,0
"Fam26f",357,153,314,177,214,273,166,239
"Dse",576,670.5,631.5,922,681,384,713,495
"Tspyl1",1491,1252,1651,1572,1384,1343,1268,1327
"Tspyl4",416,258,485,400,514,403,517,562
"Nt5dc1",1107.48,787,1332,1298,1145.33,883.17,1047,1033
"Col10a1",0,0,0,0,0,0,0,0
"Frk",9.62,12.02,4.14,6.73,4,7.33,3.14,3.5
"Amd2",516.38,343.42,517.04,432.94,441.45,438.98,473.17,520.87
"Hs3st5",3.28,1.59,0.72,7.2,2.48,1.46,2.19,2.42
"Hdac2",2141,1450,2012.5,2301,2125,1953,2133,1934
"Marcks",587,211,52,107,77,113,125,78
"Rfpl4b",0,0,0,0,0,0,0,0
"Lama4",3.83,6,0,0.12,2.25,0,3,0
"Fam229b",28,4,8,1,7,19,7,13
"Tube1",209,81,181,125,107,121,121,163
"Wisp3",40,24,21,29,28,23,35,35
"Fyn",12004,6244,12763,9670,9013,8969,9071.54,10512
"Traf3ip2",2041.31,1382.67,1659.53,2140.87,1889.37,1391.25,1812.34,1531.03
"Rev3l",2396.41,1746.6,3493.01,3437.96,3021.6,1853.92,3250.25,3157.83
"Mfsd4b2",1.5,1,0.33,1.33,1.67,2.67,0.67,2.33
"Mfsd4b3",0,0,0.5,1.5,0,2.5,1.5,1
"Mfsd4b5",6,5.5,4.83,7.83,7,7.67,7.17,4.83
"Mfsd4b1",90.5,21.38,56.55,34.67,35.44,66.93,35.71,61.24
"Slc16a10",186.12,276.72,121.5,496.32,459.7,117.48,482.09,165.57
"Rpf2",839.83,643.83,724.5,790.23,757.5,630.62,717.83,653.67
"Gtf3c6",687.11,363,627,576.44,619,706.5,676,661.44
"Amd1",907.95,760.93,793.64,827.66,750.7,709.92,726.35,748.06
"Cdk19",1457.4,1154.23,1756.03,1768.07,1600.56,1136.52,1582.57,1605.85
"Gm32234",0,0,0,0,0,0,0,0
"Slc22a16",0,0,0,0,0,0,0,0
"Ddo",3.12,0,0.14,0.17,0,0,0,0
"Mettl24",13,7,4,3.12,1,6,2,0
"Cdc40",1512,1112,1825,1612.33,1558,994,1530.5,1545
"Wasf1",411,199,261.2,286.5,267.17,313.5,265.67,250.25
"Gpr6",0,0,0,0,0,0,0,0
"Fig4",593.1,440,773.1,768,746,514,711,695.5
"Ak9",7.79,3.88,5.23,9.12,10.29,4.46,6.16,9.38
"LOC108167806",462.75,203.68,390.52,357.31,322.01,297.07,317.45,499.84
"Zbtb24",645,449,676,710,792,570,735,660
"Mical1",4034,2319,3133,3174,3114,3312,3511,3004
"Smpd2",478,269,289,384,350,357,367,305
"Ppil6",18,8,1,5,10,2,9,2
"Cd164",6764,5036,8572,7220,6989,5481,6761,7190
"Ccdc162",137.77,77.25,141.17,173.2,144.92,106.5,149.65,133.31
"Cep57l1",558.32,387.78,518.52,749.68,703.71,429.06,670.2,561.8
"Sesn1",1521.85,2066,1804,2922.2,2672.74,1455.7,2273.6,1654.57
"Armc2",28,24,49,20,39,14,13,23
"Foxo3",832,982,1128,1324,1209.33,810,1175,949
"Lace1",174.67,146,186,203.31,171.83,148.03,140.83,158
"Snx3",1944,1186,1763.5,1565,1446.5,1700,1439,1588.5
"Nr2e1",1,0,0.5,0,0,1.5,1,0
"Ostm1",1170,862,1549,1180,1244,1041,1207,1326
"Sec63",2940,1971,2738,3144.62,2730.33,2200,2715,2549
"Scml4",4948.25,4068.7,4416.45,6010.6,4937.8,3682.25,4431,3985.1
"Sobp",4.3,0,2.2,5.83,1.2,5,1,3
"Pdss2",2025.9,1357.81,1807.71,1435.32,1373.27,1780.28,1535.21,1673.98
"Bend3",238,162.5,285,246,201,210.5,247.5,244.5
"1700021F05Rik",296,188,271,320,266,271,288.5,240
"Cd24a",395,190,156.5,192.5,128,213.5,148.5,112.5
"Qrsl1",589.95,342.75,611.77,619.64,566.2,452.82,744.89,589.43
"Rtn4ip1",261,182,294,272,265,193,302,262
"Aim1",2182,1565.4,2919.17,2188,2076,1524,1805,1954.33
"Atg5",909.5,669,887.5,869.61,762,605.14,764.33,697.25
"Prdm1",156,37,114,28,16,34,20,51
"Prep",732,352,885,655,567.25,572,567,809
"Popdc3",1,0,0,0,0,0,1,0
"Bves",0,0,0,0,2,1,0,0
"Lin28b",6.76,10,2.14,2.17,0.43,1.62,3.14,8
"Hace1",574.24,468,679.98,722,662.46,381.2,659,555.25
"Grik2",8.56,5.46,3.17,6.51,13.7,8.69,5.71,6.2
"LOC108167809",86.63,34.47,86.43,75.61,63.37,51.6,61.54,106.73
"Ascc3",1272.67,888.83,1699.61,1491.62,1290.39,931.17,1396.14,1448
"Sim1",0,0,0,0.5,1,2,1,0
"Lilr4b",378.75,24.5,53,1,1.5,35.25,2,40
"Lilrb4a",705.58,35.5,63,1,6.5,31.92,3,44
"Fam162b",0,0,0,0,0,0,0,0
"Gprc6a",0,0,0,0,0,0,0,0
"Rfx6",0,0,0,0,0,0,0,0
"Vgll2",0,0,0,0,0,0,0,0
"Ros1",0.22,0.67,3.75,0.8,2.83,0.67,1.26,1.52
"Dcbld1",50,19,22,10,15,28,21,41
"Gopc",1448.67,1053.1,1663.17,1638.5,1566.17,1372.32,1393.5,1508.33
"Nepn",0,0,2,0,0,0,1,0
"Nus1",1608,1232,2079,1592,1617,1464,1588,1736
"Slc35f1",3.54,1,0.34,2,0.39,0,1,2.39
"Cep85l",309,168,470.5,289,340,273.5,317,414.5
"Pln",0,0,0,0,0,0,0,0
"Mcm9",763.51,454.5,807.65,749.31,669.1,583.23,674.12,670.2
"Asf1a",0,0,0,0,0,0,0,0
"Fam184a",1,5.29,1.17,7,0.17,2,1.17,2
"Man1a",3313.5,2123.25,3949.12,3384.14,2810,2287,2757.33,2984.1
"Tbc1d32",73.87,70.2,82,74.85,67.75,58.93,60.73,67.05
"Msl3l2",0,0,0,0,0,0,0,0
"Gja1",0,1,0,0,0,0,2,1
"Hsf2",453,335,378,543,475,322,423,404
"Serinc1",2037.67,1495,2238.33,2801.33,2419,1412,2372.67,1948
"Pkib",119,38,36,21,37,37,38,44
"Fabp7",0,0,0,0,0,0,0,0
"Smpdl3a",1168,1028,1352,1325,1310,1180,1535,1354
"LOC100504180",0,0,0,0,0,0,0,0
"Gm4981",0,0,0,0,0,0,0.5,0
"Gcc2",400,308.83,496.88,459.15,443.33,334.89,404.25,465.7
"Lims1",2437,2003.33,2693.31,3077.5,2762.48,1701.17,2586,2471.33
"Ranbp2",4553,3370,6342,5266,5341,3516,5107,5484
"Ccdc138",223.67,110,196.64,182.18,154.5,166.03,139.17,188.5
"Edar",0,0,0,1,0,0,0,0
"Sh3rf3",5.25,4.22,3,3.2,4.1,5.5,1.11,3
"Sept10",54.2,4,32,13,18.25,16,10,28
"Sowahc",130,49,41,14,11,31,17,39
"P4ha1",872,723,1079,1143,1049,795,917,981
"Pla2g12b",0,0,1,0,1,0,0,1
"Oit3",1,2,2,0,5,2,0,2
"Mcu",486,279,431.5,512,396,328,360,322
"Micu1",1216.78,587.49,1006.73,847.52,784.16,1101.09,840.27,1028.07
"Dnajb12",467,254,561.5,536,491,390,504,440
"Ddit4",1744,1712,2393,3696,2945,1212,3206,1218
"Anapc16",1142,884,906.11,1205.12,1070,797,908,787
"Ascc1",621.27,415,652.33,613.58,560.5,549,520.5,542
"Spock2",212,48,149,77,54,148,66,195
"Chst3",143,38,13,9,3,17,6,12
"Psap",9934,5486,7978,6610,6506,6067,6443.5,7040
"Cdh23",58.47,32.06,31.3,26.56,42.2,24.5,37.77,34.9
"Vsir",0,0,0,0,0,0,0,0
"Gm17455",0,0,0,0,0,0,0,0
"Slc29a3",598.5,271,562,572.67,533,329,592.67,442.33
"Unc5b",9.5,1.2,15.8,0,0.77,3.57,0.4,4
"Pcbd1",5,3,0,1,2,0,1,0
"Sgpl1",1074,625,996,869,908,611,818,856
"Tbata",2,0,0,0,0,0,0,0
"Adamts14",124.5,115.33,100.29,156,109.58,77.33,130.7,58.33
"Prf1",789,390,1307,767,933,659,974,1097
"Pald1",109,57,152,43,74,86,71,71
"Nodal",2,0,1,3,2,0,0,2
"Eif4ebp2",5034,3665,6904,5981.5,5839.5,4448,5383,6044.5
"LOC108167814",0,0,0,0,0,0,0,0
"Lrrc20",170,87.5,191,178.17,167.25,143,210.75,168
"Npffr1",0,0,1,2,1,0,0,1
"Ppa1",1408.27,474,1176.91,773.12,669.87,1195.67,780.67,1227
"Sar1a",2435,1415,2512.33,2159.33,2097,1986.56,2138.33,2376.67
"Tysnd1",769,524,665,738,826,703,760,699
"Aifm2",41,16,20,25,12,17,28,29
"H2afy2",2,3,2,2,2,1,0,2
"Gm2137",0,0,0,0,0,0,0,0
"Col13a1",4.1,12,3,1,1.11,0.3,1,2.1
"2010107G23Rik",35,2,18,7,4,11,2,21
"Neurog3",0,0,0,0,0,0,0,0
"Tspan15",4,3,0,0,0,0.2,0,0
"Tacr2",3,0,0,0.5,0,0,0,0
"Hk1",2257.59,1215.81,2391.31,1920.49,1885.54,1896.86,2027.02,2498.3
"Hkdc1",0,3,0,2,0,0,0,0.33
"Supv3l1",887,663,716,869.5,745.5,714.5,890.67,710
"Vps26a",973.33,662,1040,961,954,787.67,769.33,1023.2
"Srgn",6747,3637,3972.25,3555,3319,3766,3011,3340
"Kif1bp",511,280,409,482.33,509,378,431,403
"Ddx21",5012,3036.83,6815.5,5429.5,4986,4005,5016.5,5634.5
"Ddx50",2357.91,1863.42,2330.7,2552.7,2205.36,1882.19,2213.91,2251.48
"Stox1",18,2,8,5,3,8,6,7
"Ccar1",4073.75,2522,3678.33,3680.17,3633.7,3039.83,3403,3418.5
"Tet1",294.11,387,546.22,623.11,687.22,320.56,723.17,439.22
"Slc25a16",485.78,330.57,567.68,477.69,441.11,346.29,507.96,486.73
"Dna2",437,88,299,112,86,285,95,359
"Rufy2",1026,850,1263,1328,1343,814,1327,1244
"Hnrnph3",522,397,524.5,691.67,668,432,476.5,518
"Pbld2",18,22,17.5,31,30,20.5,28.5,18.2
"Pbld1",1,3,4.5,7.11,0,1.5,0,2
"Atoh7",0,0,0,0,1,2,2,0
"Mypn",5,1.5,2.5,8.5,5,4.5,3,4.5
"Herc4",2608,2253.5,3337.5,3782.5,3205.5,2117,2932,3050.5
"Sirt1",1035,1043,1170,1153,986,746,1057,992
"Dnajc12",33.25,19.31,33,29.41,29.14,26,29.71,40.1
"Ctnna3",17.7,11.65,12.14,18.4,12.85,9.94,13.16,9.65
"Lrrtm3",0,0,0,0,0,0,0,0
"Reep3",844.92,433.61,753,745,656.83,601,618,880
"Jmjd1c",3140.75,2236.25,3644.75,3490.5,3289.5,2141,3191.25,2935.25
"Nrbf2",287.37,206.54,258.29,324.37,285.96,274.54,297.5,257.04
"Egr2",201.5,91.75,150,154,129,206,138.75,167.5
"Ado",46,37,67.5,51,59,53,48,54.5
"Zfp365",201,126,247.5,196.33,192,126.5,224.5,212.5
"Rtkn2",86,12,56,36,25,44,23.5,55
"Arid5b",1534.92,986.33,1076.33,1205.26,1007.74,907.12,1162.58,1114.34
"1700040L02Rik",36,26.2,38.25,41,34.67,33,34,26.5
"Tmem26",12,2.17,0,0,0,0.33,0.25,2
"Rhobtb1",20,6,0,0,1,0,0,1
"Cdk1",1266,175,823,268,166,495,218,636
"Ank3",94.44,9.83,36,4.9,3.25,29,5.75,23.5
"Ccdc6",1509.33,974,1598,2072.75,1906.67,1276.25,1723.33,1654.33
"Mrln",3,6,0,1,5,0,5,0
"Slc16a9",3.17,2.33,0,0,0.17,0,0,0.53
"Fam13c",2,2.25,0.12,2.75,0.38,0,1,0
"Phyhipl",0,0,0,1,2,0,0,0
"Bicc1",7.93,8.83,6.99,1.74,4.74,1.19,2.9,1.82
"Tfam",1619.5,1103,1681,1537,1485.12,1467,1457.25,1605
"Ube2d1",1097,874,1150,1194,1207,937,1055,1008
"Cisd1",429,162,259.5,172,232.75,337,268,314.5
"Ipmk",524.5,312,563.5,456.5,400,405.5,446.5,547
"Zwint",1596,940,1601.5,1486,1493,1081,1447,1519
"Pcdh15",571.5,299.76,442.69,427.54,441.71,502.94,406.47,511.28
"Rsph14",0,0,0,0,1,0,0,0
"Gnaz",0,0,0,0,0,0,0,0
"Rab36",16,7.5,9,1,3.5,18,4,10
"Bcr",481.25,255,538,456.33,505.5,413,380,515
"Specc1l",1404,1022.75,1888,1823.17,1565.83,1070.2,1585.4,1475
"Adora2a",679,254,672,334,374,429,312,428
"Upb1",52,28,4,7.5,6,4,6.5,5
"Gucd1",971,1029,829,1519,1522,863,1603.14,1043
"Snrpd3",2502.33,1923.33,2271.7,2551,2509.5,2456.33,2662.53,2149
"Lrrc75b",84,138,91,300,241,64,293,133
"Ggt1",695.5,989,382,1407,1336.5,460,1567.5,453
"Ggt5",141,175,107,239,242,127,239,122
"Susd2",101,56,30,41,52,41,41,41
"Cabin1",4144,2722,4153,4474,3943,3717,3959,3771
"Ddt",619,243,458,354,295,511,379,417
"Gstt3",40,0,16,1,1,18,0,10
"Gstt1",6,3,3,2,0,3,5,6
"Gstt4",4,0,4,6,3,5,2,1
"Gstt2",891,642,669,840,944,815,1024,764
"Mif",1937.92,868,1189.42,1006.17,928.17,1282.58,923.67,1054.5
"Derl3",95,22,33,15,9,52,7,44
"Smarcb1",2224,1107,1609,1735,1627,1730,1596,1656.1
"Mmp11",32,36,21,52,42,21,57,22
"Chchd10",374,142,183,164,128,248,153,136
"Gm867",3,0,1,3,0,2,0,1
"Vpreb3",10,6,2,12,3,7,4,4
"Gm5134",31.39,43,45.83,45.2,36.65,51.25,72,25.45
"Zfp280b",612.5,338.5,792.5,630.5,582.5,598.5,591.5,727.5
"Slc5a4b",5.5,0.5,0,4,3,4,4,0
"Slc5a4a",0.5,0.5,0,0,0,0,0,1
"Prmt2",176,136.5,144,190,183,136.2,169,152
"S100b",1,3,0,2,2,0,1,0
"Dip2a",147,68,135,129.17,106,92,88,114
"Pcnt",2019,1267,2229,2216,2106,1553,1926,2016
"2610028H24Rik",2.12,0,2.12,6.62,2,1,1,0
"Ybey",52.38,23,58.25,50.12,53,41.25,74,46.12
"Mcm3ap",1989,1394,2296,2214,2205,1866,2124,2003
"Lss",389,255,343,399,370,289,411,348
"Spatc1l",2,4,2,3,0,2,4,0
"Ftcd",0,0,0,0,0,0.33,0,0
"Col6a2",5,18,1,1,2,1,1,1
"Col6a1",6,22,1,0,0,0,0,0
"Pcbp3",77.56,31.42,64.67,72.9,48.3,49.25,52.07,61.21
"Slc19a1",556,379,613,714,633,458,694,568
"Col18a1",58.76,38.67,30.22,43.11,41.33,23.5,56.89,23.78
"Pofut2",618,322,480,521,504,513,496,418
"Adarb1",52,25.1,21,23.69,20.37,48.57,19.27,42
"Fam207a",755.33,395.43,718.57,599.33,578.63,621.74,589.43,640.77
"Itgb2",8858,5871.5,10642.5,8621.5,8423,8171,8541,9471.5
"Pttg1ip",985,740,963,1065,937,758,978,888
"Sumo3",1647.33,972.5,1426.5,1106,956,1235.5,1031.67,1404
"Ube2g2",837,628,954,765,750,819,673,877
"Tspear",19.02,1.45,16.42,13.97,12.12,11.61,11.73,9.9
"Gm19402",0,0,0,0,0,0,0,0
"Gm9508",0,0,0,0,0,0,0,0
"Gm10024",0,0,0,0,0,0,0,0
"Gm10142",0,0,0,0,0,0,0,0
"Krtap12-1",0,0,0,0,0,0,0,0
"Gm10100",0,0,0,0,0,0,0,0
"Gm9736",0,0,0,0,0,0,0,0
"Gm3233",0,0,0,0,0,0,0,0
"Gm3238",0,0,0,0,0,0,0,0
"LOC102640500",0,0,0,0,0,0,0,0
"Gm3250",0,0,0,0,0,0,0,0
"Gm7137",0,0,0,0,0,0,0,0
"Gm9639",0,0,0,0,0,0,0,0
"Gm19668",0,0,0,0,0,0,0,0
"Gm9507",0,0,0,0,0,0,0,0
"Gm2696",0,0,0,0,0,0,0,0
"Krtap10-4",0,0,0,0,0,0,0,0
"Krtap10-10",0,0,0,0,0,0,0,0
"Gm36176",0,0,0,0,0,0,0,0
"Gm10318",0,0,0,0,0,0,0,0
"Gm3285",0,0,0,0,0,0,0,0
"Lrrc3",3,2,0,0,0,0,0,0
"Trpm2",168.68,81.41,204.36,148.4,79.06,57.54,119.43,109
"1810043G02Rik",243,130,118,175,141,179,134,123.2
"Pfkl",1005,630,850,893,783,783,810,879
"Aire",9.33,2,1,2,0,7,0,3
"Dnmt3l",1,0,0,0,1,0,0,0
"Icosl",310,111,150,69,75,217,127,199
"D10Jhu81e",832,602,772,734,740,813,763,740
"Pwp2",896,740,1149,965,1072,883,1067,983
"Trappc10",1664,1114,2143,1925,1823,1511,1910,1852
"Agpat3",3674,2156,4232,3410,3505,3155,3507,3663
"Rrp1",5072,3340,4134,4322,4184,4540,4364,3890
"Cstb",552,393,380,306,299,438,393,403
"Pdxk",464.5,364,631.5,530,501.25,485.5,579.5,602.5
"Olfr1358",1,4,2,1,1,0,6,3
"Ilvbl",1008,1014,996,1341,1315,946,1505,1049
"Syde1",193,221,175,260,270,242,307,223
"Olfr1357",2,1,0,15,13,2,11,2
"Casp14",0,0,0,0,0,0,0,0
"Ccdc105",0,0,0,0,0,0,0,0
"Slc1a6",0.33,0,0,0,0,0,0,0
"Olfr1356",0,0,0,0,0,0,0,0
"Olfr1355",0,0,0,0,0,0,0,0
"Olfr1354",0,0,0,0,0,0,0,0
"Olfr8",0,0,0,0,0,0,0,0
"Olfr1353",0,0,0,0,0,0,0,0
"Olfr1352",0,0,0,0,0,0,0,0
"Olfr1351",0,0,0,0,0,0,0,0
"Olfr57",0,0,0,0,0,0,0,0
"2610008E11Rik",444,339,360,504.33,505,352,447,454
"Vmn2r80",0,0.14,0,0,0.5,0.14,0.92,0
"Vmn2r81",1,0,0.27,0.79,0.12,0,0.2,0
"Vmn2r82",0.25,0,0,1.5,1,0,0,0.25
"Vmn2r83",0,0,0,0,0,0,0,0
"Plpp2",22,4,6,3,10,15,5,8
"Mier2",631,499,547,623,579,526.5,589,543
"Theg",0,0,0,0,0,0,0,0
"C2cd4c",0,0,0,1,0,0,0,0
"Shc2",0,0,0,0,0,0,0,0
"Odf3l2",0,0,0,0,0,0,0,0
"Madcam1",7,10,6,0,1,7,0,2
"Tpgs1",284,223,241,250,239,272,235,290
"Cdc34",1251.5,591,997,712.5,654,951.5,802.5,858.5
"Gzmm",202,65,474,39,81,139,74,186
"Bsg",2792.62,1515,2350,2115,1994,2301,1904,2241
"Hcn2",13,0,22,8,8,23,2,14
"Polrmt",691,456,631,741,739,590,704,611
"Fgf22",1,2,1,6,3,0,3,2
"Rnf126",1102.5,679,853,899,785.5,1023,851,824.5
"Fstl3",2,3,0,0,1,5,4,2
"Prss57",3,0,1,1,2,2,0,1
"Palm",182,94,127,109,130,139,113,156
"Misp",0,0,0,1,3,3,0,1
"Ptbp1",1511.5,1054,2476.83,1724.17,1517.17,1213.67,1584.33,1906.5
"Plppr3",21,11,9,2,2,5,2,4
"Prtn3",0,0,0,0,0,0,0,0
"Elane",0,0,0,0,0,0,0,0
"Cfd",2,0,0,0,0,0,0,0
"Med16",633,437,712,642,588,587,626,575
"R3hdm4",2142,1252,1915,1932,2042,1665,2007,1728
"Kiss1r",24,28,25,40,48,39,45,27
"Arid3a",438,246,461,316,392,367,372,454
"Wdr18",857,437,807,809,747,736,775,709
"Grin3b",29,11,14,13,22,26,8,11
"Tmem259",2560,1812,1869,2213,2172,2253,2244,1736
"Cnn2",10636,7631,11001,11372.5,12052.5,10815.5,12854.75,10809.62
"Abca7",3063,1996,2241,2877,2622,2875,2698,2654
"Hmha1",35664,26513,25181,33794,33919.11,34661,32782,27265
"Polr2e",1072,675,748,867,842,774.14,816,745
"Gpx4",634.33,382,431.33,386.33,436.83,525.67,470.17,471.83
"Sbno2",2652,1272,1928,1668.5,1591,1947,1811,2028
"Stk11",2502,1414,1652,2074,2118,2151,1943,1786
"Cbarp",356,352,201,308,307,315,360,242
"Atp5d",3045,1686,2352,2303,2203,2555,2275,2163
"Midn",2690,2309,2455,3159,3126,2343,2727,2401
"Cirbp",2015,1824,1477,1940,1853,1657,2388,1469
"1600002K03Rik",197,168,152,154,144,179,139,158
"Efna2",20,12,7,10,14,12,6,6
"Mum1",2062.14,1446,1690,1979,1842,1830.1,2072.11,1699
"Ndufs7",1050,730,735,935,832,847,884,718
"Gamt",10,3,1,0,2,2,1,2
"Dazap1",2824.25,2002,2560.2,2827,2665,2714.11,2527.25,2524
"Rps15",18797.83,11339.88,13439.33,12200.82,11870.92,13459.83,12044.37,11185.25
"Apc2",8,8,2,6,4,2,6,4
"2310011J03Rik",683,366,577,465,457,507,502,538.17
"Pcsk4",148,104,122,140,149,145,173,134
"Reep6",6,3,2,2,1,4,3,1
"Adamtsl5",2.58,0,0.33,0.25,2.2,3,0.25,0
"Plk5",1,0,0,0,0,0,0,0
"Mex3d",83,56,137,106,90,94,83,97
"Mbd3",1911,1063,1602,1584,1634,1601,1742,1510
"Uqcr11",326.58,216.83,261.08,231.17,230.42,308.5,230.5,243.42
"Tcf3",2879,1819,2635,2536,2414,2557,2461,2282
"Onecut3",1,3,0,0,1,0,0,0
"Atp8b3",2,2,0,0,3,1.11,3,0
"Rexo1",2126,1570,1944.33,2083.5,1972.33,1934.67,1946.83,1864
"Klf16",537,431,497,529,483,436,373,418
"Abhd17a",1167,707,963,1027,1009,967,1000,853
"Adat3",0,0,0,0,0,0,0,0
"Scamp4",1090,708,1034,1009,938,898.5,1102,863
"Csnk1g2",2769,2098,2579,2766,2692,2512,2625,2320
"Btbd2",732,463,639,653,656,595,583,571
"Mknk2",5853,3633,6050,5063,5252,4923,5166,5231
"Mob3a",3406,2844,4101,4549,4382,3158,4521,3849
"Izumo4",965,639,541,869,884,723,815,548
"Ap3d1",3371,2427,3008,3147,3188,2973,3268,3059
"Dot1l",1947.75,1444,2312.33,2308,2144.43,1832.33,2146.75,2063.58
"Plekhj1",1172,676,881,932,890,1003,940,792
"Sf3a2",1623,737,1239,1164,1174,1193,1120,1100.5
"Amh",12,23,11,13,10,8,9,6
"Jsrp1",4,1,3,9,3,6,2,6
"Oaz1",3588.5,2921.5,3236.6,3040,2601.25,3520.83,2761,2767.17
"Lingo3",1,0,0,1,0,0,0,0
"Lsm7",294,154.17,166.92,206.17,225.25,229.5,223.42,155.92
"Sppl2b",627,361,525,507,540,594,566,520
"Tmprss9",17,12,4,17,11,10,7,8
"Timm13",755,551,533,451,454,673,491,526
"Lmnb2",671.92,327.4,632.67,500.25,478.25,572.5,524,584.44
"Gadd45b",1793,753,332,210,148,686,120,302
"Gng7",55.6,14.3,62.3,15.9,22.97,28.32,15.8,28.81
"Diras1",0,1,0,0,0,0,0,1
"Slc39a3",276,232,371,390,405,338,429,348
"Sgta",1095,628,911,859,835,945,921,944
"Thop1",381,152,317,214,275,317,280,307
"Creb3l3",3,0,2,0,0,1,1,1
"Map2k2",1785.5,979,1497,1522.67,1533.67,1637.5,1479,1369.17
"Zbtb7a",1294.2,865,1573,1567,1529,1185,1204,1291
"Pias4",502,378,471,545,546,486,484,443
"Eef2",50644.58,32746.11,71434.58,44505.66,43879.1,42423.85,44669.51,58284.05
"Dapk3",663,435,581,592,579.4,575,624,565.2
"Nmrk2",0,0,0,0,0,0,0,0
"Atcay",188,17,108.5,39.25,35.33,126.37,59.45,91.2
"Zfr2",68,35,47,87,83,63,112,51
"Matk",819,582,642,838,824,824,809,586
"Mrpl54",783,369,446,442,447,558,484,421
"Apba3",393,238,332,361,360,337,339,301
"Tjp3",122,24,83,51,43,82,52,66
"Pip5k1c",2493,1571,2437,2331,2310,1955,2151,1807
"Cactin",1113,773,916,931,948,977,911,821
"Tbxa2r",740,538,959,788,849,627,754,670
"Gipc3",20,25,11,20,17,8,12,13
"Hmg20b",792,484,442,568,610,700,598,449
"Mfsd12",110,67,88,91,110,91,93,80
"4930404N11Rik",0,0,0,0,0,0,0,0
"Fzr1",777,379,590.25,434,403,581,465,597
"Dohh",411,210,340,298,309,363,322,349
"Smim24",132,41,99,64,64,66,68,84
"Nfic",295,190,341,395,361,166,364,285
"Celf5",25,10,18,44,27,29,30,19
"Ncln",2632,2097,1854,3173,3155,2384,2956,1830
"S1pr4",1705,1198,2041,1927,2195,1729,2062,1888
"Gna15",188,37,73,65.25,61,91,84,113.25
"Gna11",789,617,755,845.2,784.25,710,762,681
"Aes",7670,4249,5837,6331,6370,7049,6322,5863
"Tle2",38,37,25,44,28,34,34,30
"Tle6",18,3,4,5,1,10,9,12
